operator,financial_period,number_of_stops,on_time_percentage
,2022-23 Period 12,"3,298",48.9
,2022-23 Period 13,"3,375",53.1
,2023-24 Period 01,"4,015",53.4
,2023-24 Period 02,"3,434",50.2
,2023-24 Period 03,"3,393",45.4
,2023-24 Period 04,"3,085",44.4
,2023-24 Period 05,"3,403",42.3
,2023-24 Period 06,"3,463",43.2
,2023-24 Period 07,"3,764",42.3
,2023-24 Period 08,"3,759",38.3
,2023-24 Period 09,"3,794",36.6
,2023-24 Period 10,"3,127",34.1
,2023-24 Period 11,"3,532",43.6
,2023-24 Period 12,"3,206",46.8
,2023-24 Period 13,"4,149",49.6
,2024-25 Period 01,"3,995",51.8
,2024-25 Period 02,"4,074",46.4
,2024-25 Period 03,"4,143",49.2
,2024-25 Period 04,"4,212",41.7
,2024-25 Period 05,"4,175",44.2
,2024-25 Period 06,"3,966",46.8
,2024-25 Period 07,"3,982",45.1
,2024-25 Period 08,"3,947",42.9
,2024-25 Period 09,"3,895",37.9
,2024-25 Period 10,"3,478",45.9
,2024-25 Period 11,"3,738",42.1
,2024-25 Period 12,"3,787",46.5
,2024-25 Period 13,"4,182",51.6
Great Western Railway,2022-23 Period 01,"345,120",71.5
,2022-23 Period 02,"332,090",70.3
,2022-23 Period 03,"296,928",65.6
,2022-23 Period 04,"326,884",61.1
,2022-23 Period 05,"267,808",57.7
,2022-23 Period 06,"333,324",62.5
,2022-23 Period 07,"274,117",65.2
,2022-23 Period 08,"310,199",57.4
,2022-23 Period 09,"304,224",56.4
,2022-23 Period 10,"185,603",62.5
,2022-23 Period 11,"298,440",62.4
,2022-23 Period 12,"312,594",66.4
,2022-23 Period 13,"282,782",65.9
,2023-24 Period 01,"322,629",64.9
,2023-24 Period 02,"297,521",63.8
,2023-24 Period 03,"285,525",59.5
,2023-24 Period 04,"307,496",61.1
,2023-24 Period 05,"311,342",59.7
,2023-24 Period 06,"298,192",58.8
,2023-24 Period 07,"301,924",60.9
,2023-24 Period 08,"312,377",55.5
,2023-24 Period 09,"303,862",53.5
,2023-24 Period 10,"286,471",58.6
,2023-24 Period 11,"319,303",61.9
,2023-24 Period 12,"301,303",62.6
,2023-24 Period 13,"325,095",60.7
,2024-25 Period 01,"309,145",66.2
,2024-25 Period 02,"316,407",63.7
,2024-25 Period 03,"330,307",63.7
,2024-25 Period 04,"320,338",61.1
,2024-25 Period 05,"328,690",60.3
,2024-25 Period 06,"322,886",60.9
,2024-25 Period 07,"321,357",57.4
,2024-25 Period 08,"322,439",55.6
,2024-25 Period 09,"305,254",52.4
,2024-25 Period 10,"276,004",61.1
,2024-25 Period 11,"323,336",64.5
,2024-25 Period 12,"325,279",65.9
,2024-25 Period 13,"342,801",66
Greater Anglia,2022-23 Period 01,"262,376",89.3
,2022-23 Period 02,"247,464",87.6
,2022-23 Period 03,"224,993",85.6
,2022-23 Period 04,"234,464",84.5
,2022-23 Period 05,"208,599",81
,2022-23 Period 06,"249,898",78.2
,2022-23 Period 07,"227,476",76.2
,2022-23 Period 08,"242,200",74.4
,2022-23 Period 09,"246,324",73.5
,2022-23 Period 10,"140,772",76.2
,2022-23 Period 11,"226,359",80.1
,2022-23 Period 12,"248,796",85.8
,2022-23 Period 13,"230,789",87.1
,2023-24 Period 01,"260,726",88.5
,2023-24 Period 02,"237,633",89
,2023-24 Period 03,"234,340",85.6
,2023-24 Period 04,"244,300",87.5
,2023-24 Period 05,"248,051",87.7
,2023-24 Period 06,"236,180",86.7
,2023-24 Period 07,"235,579",86.6
,2023-24 Period 08,"251,315",83.5
,2023-24 Period 09,"242,252",82.2
,2023-24 Period 10,"234,342",86.1
,2023-24 Period 11,"240,261",86.2
,2023-24 Period 12,"248,514",85.3
,2023-24 Period 13,"262,965",86
,2024-25 Period 01,"237,328",86.5
,2024-25 Period 02,"248,732",88.4
,2024-25 Period 03,"262,842",87.1
,2024-25 Period 04,"264,323",85.3
,2024-25 Period 05,"258,173",86.1
,2024-25 Period 06,"263,060",86.6
,2024-25 Period 07,"260,663",83.1
,2024-25 Period 08,"267,518",84
,2024-25 Period 09,"263,008",79.2
,2024-25 Period 10,"231,779",85.9
,2024-25 Period 11,"255,473",83.7
,2024-25 Period 12,"259,975",84.6
,2024-25 Period 13,"275,517",82.9
Heathrow Express,2022-23 Period 01,"12,274",81.8
,2022-23 Period 02,"12,239",81.5
,2022-23 Period 03,"11,321",81.9
,2022-23 Period 04,"12,038",74
,2022-23 Period 05,"10,573",78.7
,2022-23 Period 06,"12,186",75.5
,2022-23 Period 07,"10,074",78.8
,2022-23 Period 08,"11,840",77.7
,2022-23 Period 09,"10,397",76.5
,2022-23 Period 10,"9,374",84.1
,2022-23 Period 11,"11,403",77.4
,2022-23 Period 12,"12,398",80
,2022-23 Period 13,"11,021",80.9
,2023-24 Period 01,"12,785",82.1
,2023-24 Period 02,"11,878",82.8
,2023-24 Period 03,"11,440",76.2
,2023-24 Period 04,"12,232",75.2
,2023-24 Period 05,"11,873",76.3
,2023-24 Period 06,"11,479",75
,2023-24 Period 07,"11,657",76.3
,2023-24 Period 08,"11,893",70.6
,2023-24 Period 09,"9,944",58.3
,2023-24 Period 10,"11,257",64.4
,2023-24 Period 11,"11,599",70.7
,2023-24 Period 12,"11,767",75.8
,2023-24 Period 13,"11,564",71.4
,2024-25 Period 01,"11,015",72.9
,2024-25 Period 02,"11,515",76.4
,2024-25 Period 03,"12,003",78.3
,2024-25 Period 04,"11,569",75.2
,2024-25 Period 05,"12,009",76.5
,2024-25 Period 06,"12,004",77
,2024-25 Period 07,"11,478",72.5
,2024-25 Period 08,"11,651",73.6
,2024-25 Period 09,"10,271",66.2
,2024-25 Period 10,"11,373",79.1
,2024-25 Period 11,"12,000",72.4
,2024-25 Period 12,"11,814",69.4
,2024-25 Period 13,"12,691",72.9
Hull Trains,2022-23 Period 01,"3,103",68.1
,2022-23 Period 02,"3,042",63.4
,2022-23 Period 03,"2,809",62.7
,2022-23 Period 04,"2,485",51
,2022-23 Period 05,"2,442",51.9
,2022-23 Period 06,"3,065",55.4
,2022-23 Period 07,"2,851",53.4
,2022-23 Period 08,"2,974",39.1
,2022-23 Period 09,"2,888",34.8
,2022-23 Period 10,"2,082",42.4
,2022-23 Period 11,"3,050",49.4
,2022-23 Period 12,"2,998",57.7
,2022-23 Period 13,"3,075",55.9
,2023-24 Period 01,"3,236",53.3
,2023-24 Period 02,"2,950",55.2
,2023-24 Period 03,"3,066",51.3
,2023-24 Period 04,"3,014",57
,2023-24 Period 05,"3,169",57.8
,2023-24 Period 06,"3,076",55.6
,2023-24 Period 07,"3,161",50.8
,2023-24 Period 08,"3,099",43.9
,2023-24 Period 09,"3,015",38
,2023-24 Period 10,"2,626",42.5
,2023-24 Period 11,"2,911",48.2
,2023-24 Period 12,"2,637",46.4
,2023-24 Period 13,"3,249",52.4
,2024-25 Period 01,"3,007",56.5
,2024-25 Period 02,"2,997",56.2
,2024-25 Period 03,"3,139",56.7
,2024-25 Period 04,"3,147",54.2
,2024-25 Period 05,"3,103",51.4
,2024-25 Period 06,"3,061",54.4
,2024-25 Period 07,"2,933",49.7
,2024-25 Period 08,"2,929",46.4
,2024-25 Period 09,"2,745",37.6
,2024-25 Period 10,"2,785",45.6
,2024-25 Period 11,"2,803",43.1
,2024-25 Period 12,"3,023",51
,2024-25 Period 13,"3,228",58
London North Eastern Railway,2022-23 Period 01,"35,828",68.2
,2022-23 Period 02,"33,873",69.7
,2022-23 Period 03,"30,808",66.4
,2022-23 Period 04,"31,429",62.4
,2022-23 Period 05,"26,802",59.4
,2022-23 Period 06,"32,365",61.2
,2022-23 Period 07,"27,984",61
,2022-23 Period 08,"30,358",50.1
,2022-23 Period 09,"29,699",42.1
,2022-23 Period 10,"18,590",43.9
,2022-23 Period 11,"28,762",55.7
,2022-23 Period 12,"31,160",61.8
,2022-23 Period 13,"29,896",58.7
,2023-24 Period 01,"34,256",62.3
,2023-24 Period 02,"30,126",62.3
,2023-24 Period 03,"30,130",56.7
,2023-24 Period 04,"32,049",61.1
,2023-24 Period 05,"32,540",60.6
,2023-24 Period 06,"30,610",60.3
,2023-24 Period 07,"29,912",55.6
,2023-24 Period 08,"29,407",43.8
,2023-24 Period 09,"30,800",49
,2023-24 Period 10,"26,410",48.6
,2023-24 Period 11,"29,533",56.5
,2023-24 Period 12,"28,344",55.8
,2023-24 Period 13,"32,765",60.7
,2024-25 Period 01,"30,587",59.6
,2024-25 Period 02,"32,025",59.8
,2024-25 Period 03,"32,950",59.7
,2024-25 Period 04,"32,642",57
,2024-25 Period 05,"32,203",56.8
,2024-25 Period 06,"31,075",57
,2024-25 Period 07,"30,824",55.4
,2024-25 Period 08,"32,547",57
,2024-25 Period 09,"31,998",45.8
,2024-25 Period 10,"31,266",54.8
,2024-25 Period 11,"32,623",53.7
,2024-25 Period 12,"32,679",55.8
,2024-25 Period 13,"35,965",61.3
London Overground,2022-23 Period 01,"672,549",80.6
,2022-23 Period 02,"636,898",79.4
,2022-23 Period 03,"561,106",77.6
,2022-23 Period 04,"606,800",75.4
,2022-23 Period 05,"511,901",73.8
,2022-23 Period 06,"626,721",75.8
,2022-23 Period 07,"576,949",74.6
,2022-23 Period 08,"610,059",71.2
,2022-23 Period 09,"621,358",69.6
,2022-23 Period 10,"333,107",69.4
,2022-23 Period 11,"624,966",72.4
,2022-23 Period 12,"601,287",74.5
,2022-23 Period 13,"599,002",74.4
,2023-24 Period 01,"655,452",77.7
,2023-24 Period 02,"648,484",75.2
,2023-24 Period 03,"648,299",74.2
,2023-24 Period 04,"629,745",74.4
,2023-24 Period 05,"580,946",76.8
,2023-24 Period 06,"632,428",75
,2023-24 Period 07,"635,096",71.1
,2023-24 Period 08,"633,974",70.4
,2023-24 Period 09,"622,903",66.7
,2023-24 Period 10,"543,635",72.6
,2023-24 Period 11,"600,381",72.5
,2023-24 Period 12,"608,331",72.3
,2023-24 Period 13,"623,644",74.9
,2024-25 Period 01,"613,579",73.9
,2024-25 Period 02,"649,625",74.6
,2024-25 Period 03,"614,854",74.7
,2024-25 Period 04,"621,792",72.3
,2024-25 Period 05,"605,402",71.7
,2024-25 Period 06,"625,394",74.5
