textbox22,textbox24,financial_period_key,national_or_operator,trains_planned,trains_part_cancelled1,trains_full_cancelled,cancellation_score__number_,nr_responsible_infrastructure,nr_responsible_external_event,toc_responsible_toc_fault,toc_responsible_external_event,percent_cancelled_periodic,percent_cancelled_periodic__maa_
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2023 to Mar 2024 (Period 08),England and Wales,"513,715","13,475","18,341","25,079","6,124","6,802","11,307",811,4.9,3.8
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2023 to Mar 2024 (Period 09),England and Wales,"484,310","13,868","18,743","25,677","6,729","3,505","14,523",884,5.3,3.9
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2023 to Mar 2024 (Period 10),England and Wales,"465,792","13,425","21,071","27,784","6,087","8,220","12,765",685,6.0,3.9
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2023 to Mar 2024 (Period 11),England and Wales,"495,078","11,167","11,014","16,598","5,420","2,813","7,648",695,3.4,3.9
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2023 to Mar 2024 (Period 12),England and Wales,"502,500","10,680","11,909","17,249","4,661","3,575","8,271",727,3.4,3.9
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2023 to Mar 2024 (Period 13),England and Wales,"525,908","9,732","11,517","16,383","5,235","3,270","7,092",725,3.1,3.9
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2024 to Mar 2025 (Period 01),England and Wales,"485,224","9,450","11,503","16,228","4,878","3,016","7,659",629,3.3,3.9
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2024 to Mar 2025 (Period 02),England and Wales,"498,325","10,310","11,808","16,963","4,376","2,969","9,091",526,3.4,4.0
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2024 to Mar 2025 (Period 03),England and Wales,"519,676","11,490","15,335","21,080","5,548","3,215","11,515",793,4.1,3.9
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2024 to Mar 2025 (Period 04),England and Wales,"520,636","13,581","16,235","23,026","6,279","3,231","12,526",988,4.4,4.0
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2024 to Mar 2025 (Period 05),England and Wales,"519,587","12,627","15,943","22,257","6,168","3,508","11,779",792,4.3,4.0
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2024 to Mar 2025 (Period 06),England and Wales,"521,432","12,143","16,469","22,541","5,999","4,080","11,842",606,4.3,4.1
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2024 to Mar 2025 (Period 07),England and Wales,"521,340","13,441","18,661","25,382","5,785","5,698","12,993",905,4.9,4.2
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2024 to Mar 2025 (Period 08),England and Wales,"520,011","12,760","16,666","23,046","5,374","2,978","13,710",984,4.4,4.2
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2024 to Mar 2025 (Period 09),England and Wales,"521,100","17,618","25,353","34,162","8,173","8,661","15,933","1,390",6.6,4.3
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2024 to Mar 2025 (Period 10),England and Wales,"465,400","11,728","18,994","24,858","4,778","3,921","15,292",862,5.3,4.2
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2024 to Mar 2025 (Period 11),England and Wales,"524,075","13,438","15,731","22,450","6,354","5,572","9,758",759,4.3,4.3
